Date,Username,Sentiment,Tweet
2025-04-13 18:15,1390719711847993344,Negative,"Lando Norris NOT HAPPY Response with his 3rd Place in #BahrainGP https://t.co/QfDFhFLUFX via @YouTube 

max verstappen yuki tsunoda carlos sainz ferrari lewis hamilton charles leclerc williams gasly alpine red bull mclaren"
2025-04-13 18:15,1871904475742650368,Positive,"Supercharge your Twitter marketing! I craft captivating tweets, foster real follower growth,

visit here : https://t.co/H4NvnxdaQZ

#BahrainGP #Norris #Mbappe #Chelsea #Ferrari #Ipswich #Leclerc #Alavés #Russell #Charles #Sumy #الافيس #Slot #PalmSunday #BahrainGP #Bernie https://t.co/4bbBk0V5G9"
2025-04-13 18:14,3429793385,Negative,"Lawson: That's how it is, the last stint was okay but it's a shame.""

""We don't have a result to prove our good pace, but the car was fast in qualifying. We couldn't show it, it was fast in the race as well but we couldn't do anything from the back of the grid."" #BahrainGP #VCARB"
2025-04-13 18:14,3429793385,Neutral,"Liam Lawson: ""I was in the gearbox of another car the whole race.

""I had a good pace but I couldn't take advantage of it. When I attacked, I started late and I didn't touch the others intentionally. #BahrainGP #VCARB #F1 https://t.co/sYpiUwGBWQ"
2025-04-13 18:14,1711837309878886401,Positive,"@OscarPiastri A trophy as big as the win... awesome drive @OscarPiastri 🏆
#BahrainGP #mclarenF1"
2025-04-13 18:14,957708557801197569,Positive,"Oscar Piastri is the WINNER of the 2025 #BahrainGP 🇧🇭🏆

Despite a safety car in the 2nd half of the race, the Australian was in unstoppable form as he eased to victory. Russell holds off Norris for 3rd ⚡️

🥇 PIA 🇦🇺
🥈 RUS 🇬🇧
🥉 NOR 🇬🇧

#F1 #F12025 https://t.co/gCP7pCeM1f"
2025-04-13 18:14,1584844570365501440,Neutral,"#VIRTUALUSDT

Entry: 0.5863

Target 1: 0.6043 ✅
Target 2: 0.6223 ✅

#bitcoin #crypto #BTC #ETH #altcoin #trading #signal #copytrading #cryptosignal #VIRTUAL #AFLPowerHawks #BahrainGP 

Join our telegram community
Click below ⬇️ https://t.co/HcegLjEery"
2025-04-13 18:14,1718340649,Positive,Brilliant race #BahrainGP #F1
2025-04-13 18:14,1011089368990265344,Positive,"OSCAR ON POINT!!! 🫵

PIASTRI WINS THE BAHRAIN GRAND PRIX 🎉

#F1 #BahrainGP https://t.co/RyWgRDsaKm"
2025-04-13 18:14,178418353,Neutral,"Driver Standings after Round 4 (part 2)

🇪🇸 ALO 0 · 11th
🇳🇿 LAW 0 · 12th
🇦🇺 DOO 0 · 13th
🇧🇷 BOR 0 · 14th

🔜 Upcoming races
🇸🇦 20/04
🇺🇸 04/05 🐬
🇮🇹 18/05
🇲🇨 25/05
🇪🇸 01/06

#F1 #F12025 #F1Stats 🤓 #BahrainGP 🇧🇭"
